site,year,id,species,basal.area.cm2,x,y,notes
McGilvra Woods,2019,2234,Acer saccharum,90.37533866,53.7,34.3,
McGilvra Woods,2019,2235,Tilia americana,6876.796225,51,32.6,3 stems. Circumferences 161.0 and 201.6
McGilvra Woods,2019,2236,Acer saccharum,584.455944,52,39.6,
McGilvra Woods,2019,2237,Acer saccharum,179.5466702,50.5,40.6,
McGilvra Woods,2019,2238,Acer saccharum,244.2359926,58.6,30.5,
McGilvra Woods,2019,2239,Acer saccharum,258.5472051,62.2,31.5,
McGilvra Woods,2019,2240,Acer saccharum,160.4289784,62.7,33.2,
McGilvra Woods,2019,2241,Acer saccharum,203.746975,69.7,32.9,
McGilvra Woods,2019,2242,Acer saccharum,1476.197111,70.5,33.5,
McGilvra Woods,2019,2244,Acer saccharum,496.6429999,71.1,38.4,
McGilvra Woods,2019,2245,Acer saccharum,122.2819259,75.8,37.5,
McGilvra Woods,2019,2246,Acer saccharum,145.7731955,77.7,40,
McGilvra Woods,2019,2247,Acer saccharum,557.4950966,72.8,42.2,
McGilvra Woods,2019,2248,Acer saccharum,1050.582575,71.1,43.9,
McGilvra Woods,2019,2251,Carya cordiformis,1144.006527,80.1,47.5,
McGilvra Woods,2019,2252,Acer saccharum,303.6588779,81.2,49.9,2 stems
McGilvra Woods,2019,2253,Acer saccharum,719.6994484,79.6,44.9,
McGilvra Woods,2019,2254,Acer saccharum,1682.360058,83.6,44.9,
McGilvra Woods,2019,2255,Acer saccharum,36.78468622,87.7,47.4,
McGilvra Woods,2019,2256,Acer saccharum,469.3670258,92.9,47.8,
McGilvra Woods,2019,2257,Acer saccharum,1926.678811,96.2,45.7,
McGilvra Woods,2019,2258,Acer saccharum,55.88327939,93.2,40.9,
McGilvra Woods,2019,2259,Acer saccharum,1650.11845,71.7,37.7,
McGilvra Woods,2019,2260,Acer saccharum,198.9436789,95.1,35.9,
McGilvra Woods,2019,2261,Ulmus americana,1966.505744,99,38,
McGilvra Woods,2019,2263,Acer saccharum,391.044491,97.8,30.9,
McGilvra Woods,2019,2264,Ulmus americana,1931.634896,93.4,27.2,
McGilvra Woods,2019,2265,Acer saccharum,1677.735016,88.3,27.4,
McGilvra Woods,2019,2266,Acer saccharum,2434.27565,90.4,23.2,
McGilvra Woods,2019,2267,Acer saccharum,1778.576383,91.6,15.1,
McGilvra Woods,2019,2268,Acer saccharum,471.8148288,90.3,14.3,
